occ,label
100,Alabama
200,Alaska
400,Arizona
500,Arkansas
600,California
800,Colorado
900,Connecticut
1000,Delaware
1100,District of Columbia
1200,Florida
1300,Georgia
1500,Hawaii
1600,Idaho
1610,Idaho Territory
1700,Illinois
1800,Indiana
1900,Iowa
2000,Kansas
2100,Kentucky
2200,Louisiana
2300,Maine
2400,Maryland
2500,Massachusetts
2600,Michigan
2700,Minnesota
2800,Mississippi
2900,Missouri
3000,Montana
3100,Nebraska
3200,Nevada
3300,New Hampshire
3400,New Jersey
3500,New Mexico
3510,New Mexico Territory
3600,New York
3700,North Carolina
3800,North Dakota
3900,Ohio
4000,Oklahoma
4010,Indian Territory
4100,Oregon
4200,Pennsylvania
4400,Rhode Island
4500,South Carolina
4600,South Dakota
4610,Dakota Territory
4700,Tennessee
4800,Texas
4900,Utah
4910,Utah Territory
5000,Vermont
5100,Virginia
5300,Washington
5400,West Virginia
5500,Wisconsin
5600,Wyoming
5610,Wyoming Territory
9000,Native American
9900,"United States, n.s."
10000,American Samoa
10000,
10010,"Samoa, 1940-1950"
10500,Guam
10500,
10500,
11000,Puerto Rico
11000,
11000,
11500,U.S. Virgin Islands
11500,
11510,St. Croix
11520,St. John
11530,St. Thomas
12000,Other US Possessions
12010,Johnston Atoll
12020,Midway Islands
12030,Wake Island
12040,Other US Caribbean Is.
12041,Navassa Island
12050,Other US Pacific Is.
12051,Baker Island
12052,Howland Island
12053,Jarvis Island
12054,Kingman Reef
12054,
12054,
12055,Palmyra Atoll
12060,Marshall Islands
12090,"US outlying areas, n.s."
12091,"US possessions, n.s."
12091,(unknown value)
12092,"US territory, n.s."
15000,Canada
15010,English Canada
15011,British Columbia
15013,Alberta
15015,Saskatchewan
15017,Northwest
15019,Rupert's Land
15020,Manitoba
15021,Red River
15030,Ontario/Upper Canada
15031,Upper Canada
15032,Canada West
15040,New Brunswick
15050,Nova Scotia
15051,Cape Breton
15052,Halifax
15060,Prince Edward Island
15070,Newfoundland
15080,French Canada
15081,Quebec
15082,Lower Canada
15083,Canada East
15500,St. Pierre and Miquelon
16000,Atlantic Islands
16010,Bermuda
16020,Cape Verde
16030,Falkland Islands
16040,Greenland
16050,St. Helena and Ascension
16060,Canary Islands
19900,"North America, n.s. / n.e.c."
20000,Mexico
21000,Central America
21010,Belize/British Honduras
21020,Costa Rica
21030,El Salvador
21040,Guatemala
21050,Honduras
21060,Nicaragua
21070,Panama
21071,Canal Zone
21090,"Central America, n.s."
